Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
4/15/2024,AQS,60370016,1,0.061,ppm,71,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/16/2024,AQS,60370016,1,0.063,ppm,77,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/17/2024,AQS,60370016,1,0.067,ppm,90,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/18/2024,AQS,60370016,1,0.058,ppm,61,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/19/2024,AQS,60370016,1,0.06,ppm,67,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/20/2024,AQS,60370016,1,0.068,ppm,93,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/21/2024,AQS,60370016,1,0.082,ppm,140,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/22/2024,AQS,60370016,1,0.063,ppm,77,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/23/2024,AQS,60370016,1,0.049,ppm,45,Glendora,52,306,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/24/2024,AQS,60370016,1,0.05,ppm,46,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/25/2024,AQS,60370016,1,0.042,ppm,39,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/26/2024,AQS,60370016,1,0.038,ppm,35,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/27/2024,AQS,60370016,1,0.052,ppm,48,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/28/2024,AQS,60370016,1,0.063,ppm,77,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/29/2024,AQS,60370016,1,0.062,ppm,74,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
4/30/2024,AQS,60370016,1,0.065,ppm,84,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
5/23/2024,AQS,60370016,1,0.046,ppm,43,Glendora,48,282,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
5/24/2024,AQS,60370016,1,0.045,ppm,42,Glendora,64,376,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
5/25/2024,AQS,60370016,1,0.048,ppm,44,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
5/26/2024,AQS,60370016,1,0.048,ppm,44,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
5/27/2024,AQS,60370016,1,0.064,ppm,80,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
5/28/2024,AQS,60370016,1,0.061,ppm,71,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
5/29/2024,AQS,60370016,1,0.061,ppm,71,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
5/30/2024,AQS,60370016,1,0.048,ppm,44,Glendora,40,235,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
5/31/2024,AQS,60370016,1,0.067,ppm,90,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
6/1/2024,AQS,60370016,1,0.065,ppm,84,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
6/2/2024,AQS,60370016,1,0.049,ppm,45,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
6/3/2024,AQS,60370016,1,0.055,ppm,51,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
6/4/2024,AQS,60370016,1,0.071,ppm,101,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
6/5/2024,AQS,60370016,1,0.077,ppm,122,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
6/6/2024,AQS,60370016,1,0.08,ppm,133,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
6/7/2024,AQS,60370016,1,0.058,ppm,61,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
6/8/2024,AQS,60370016,1,0.05,ppm,46,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
6/9/2024,AQS,60370016,1,0.05,ppm,46,Glendora,68,400,44201,Ozone,14,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
